POI Type,ID,Name,X,Y,Z,Reference System,Notes
planetaryNebula,CGN II-1,Aemonz EQ-Y e1899,4549.97,-850.562,33732.4,Aemonz EQ-Y e1899,
planetaryNebula,CGN II-2,Aemonz WP-X e1-230,3852.91,-321.156,33901,Aemonz WP-X e1-230,
planetaryNebula,CGN II-3,Aemonz WZ-Y e2137,3857.34,-576.5,33733.9,Aemonz WZ-Y e2137,
planetaryNebula,CGN II-4,Aemonz YK-P e5-68,3865.31,-1287.53,34537.1,Aemonz YK-P e5-68,
planetaryNebula,CGN II-5,Aemorrs CG-O e6-2183,2312.81,-816.812,34644.4,Aemorrs CG-O e6-2183,
planetaryNebula,CGN II-6,Aemorrs FB-X e1-3356,1805.81,-792.781,33828.2,Aemorrs FB-X e1-3356,
planetaryNebula,CGN II-7,Aemorrs HX-T e3-4455,1531.47,-409.75,34137.8,Aemorrs HX-T e3-4455,
planetaryNebula,CGN II-8,Aemorrs HX-T e3-4517,1470.34,-469.344,34159.2,Aemorrs HX-T e3-4517,
planetaryNebula,CGN II-9,Aemorrs KW-W e1-4401,2241.31,-840.406,33926.3,Aemorrs KW-W e1-4401,
planetaryNebula,CGN II-10,Aemorrs LC-U e3-1611,2378.97,-295.125,34195.6,Aemorrs LC-U e3-1611,
planetaryNebula,CGN II-11,Aemorrs LH-V e2-6480,2063.41,-811.562,34050,Aemorrs LH-V e2-6480,
planetaryNebula,CGN II-12,Aemorrs NX-T e3-9480,2473.41,-483.719,34163.1,Aemorrs NX-T e3-9480,
planetaryNebula,CGN II-13,Aemorrs PI-T e3-4299,1719,-937.594,34218.3,Aemorrs PI-T e3-4299,
planetaryNebula,CGN II-14,Aemorrs PT-Q e5-5090,2101.53,-114.938,34565,Aemorrs PT-Q e5-5090,
planetaryNebula,CGN II-15,Aemorrs PY-R e4-373,1737.09,-651.375,34362.5,Aemorrs PY-R e4-373,
planetaryNebula,CGN II-16,Aemorrs SD-B e9406,2004.81,-264.062,33617.9,Aemorrs SD-B e9406,
planetaryNebula,CGN II-17,Aemorrs TO-Z e8424,1852.53,-26.625,33757.9,Aemorrs TO-Z e8424,
planetaryNebula,CGN II-18,Aemorrs UO-R e4-4982,1919.62,-913.344,34306.1,Aemorrs UO-R e4-4982,
planetaryNebula,CGN II-19,Aemorrs VE-Q e5-6631,2105.44,-530.188,34609.8,Aemorrs VE-Q e5-6631,
planetaryNebula,CGN II-20,Aemorrs WZ-Y e1997,1281.47,-578.406,33680.8,Aemorrs WZ-Y e1997,
planetaryNebula,CGN II-21,Aemorrs YF-O e6-4580,1638.47,-745.688,34756.9,Aemorrs YF-O e6-4580,
planetaryNebula,CGN II-22,Aemorrs YT-A e7696,2330.06,-594.875,33644.1,Aemorrs YT-A e7696,
planetaryNebula,CGN II-23,Aemorrs ZA-O e6-1760,1379.84,-942.594,34689.4,Aemorrs ZA-O e6-1760,
planetaryNebula,CGN II-24,Aemost BA-Z e4325,747.875,-657.781,33705.1,Aemost BA-Z e4325,
planetaryNebula,CGN II-25,Aemost BK-A e1056,791.844,-906.125,33524.9,Aemost BK-A e1056,
planetaryNebula,CGN II-26,Aemost CA-Z e6673,901.219,-518.25,33661.3,Aemost CA-Z e6673,
planetaryNebula,CGN II-27,Aemost DG-O e6-4332,1182.09,-783.812,34631.8,Aemost DG-O e6-4332,
planetaryNebula,CGN II-28,Aemost DG-O e6-5894,1214.69,-811.25,34739.4,Aemost DG-O e6-5894,
planetaryNebula,CGN II-29,Aemost EB-O e6-5262,920.25,-931.719,34694.1,Aemost EB-O e6-5262,
planetaryNebula,CGN II-30,Aemost FR-V e2-1417,491.406,-389.531,34093,Aemost FR-V e2-1417,
planetaryNebula,CGN II-31,Aemost JN-S e4-7370,481.625,-114.188,34442,Aemost JN-S e4-7370,
planetaryNebula,CGN II-32,Aemost NN-S e4-1763,1073.84,-106.688,34307,Aemost NN-S e4-1763,
planetaryNebula,CGN II-33,Aemost QT-Q e5-7605,896.719,-87.0625,34500.7,Aemost QT-Q e5-7605,
planetaryNebula,CGN II-34,Aemost TI-T e3-4789,1094.03,-893.938,34195.6,Aemost TI-T e3-4789,
planetaryNebula,CGN II-35,Aemost UZ-O e6-8856,948.625,-42.25,34724.3,Aemost UZ-O e6-8856,
planetaryNebula,CGN II-36,Aemost VO-Z e8067,833.219,-72.25,33778.3,Aemost VO-Z e8067,
planetaryNebula,CGN II-37,Aemost YJ-Z e7271,1053.88,-252.812,33780.1,Aemost YJ-Z e7271,
planetaryNebula,CGN II-38,Agnainks DB-O e6-1974,-1679.38,-936.594,23162.8,Agnainks DB-O e6-1974,
planetaryNebula,CGN II-39,Dalton Jewel,-1714.72,-117.062,22546,Agnainks DB-W e2-1998,
planetaryNebula,CGN II-40,Agnainks FR-N e6-1202,-2090.88,-1237.03,23117.2,Agnainks FR-N e6-1202,
planetaryNebula,CGN II-41,Agnainks LC-V e2-3268,-2123.22,-903.906,22534.5,Agnainks LC-V e2-3268,
planetaryNebula,CGN II-42,Agnainks PD-B e444,-2364.16,-231.5,22132.7,Agnainks PD-B e444,
planetaryNebula,CGN II-43,Agnainks RY-A e2542,-2312.03,-490.125,22032.3,Agnainks RY-A e2542,
planetaryNebula,CGN II-44,Agnainks SO-Z e7536,-2266.62,-90.5625,22138.7,Agnainks SO-Z e7536,
planetaryNebula,CGN II-45,Agnainks TY-A e4340,-2079.88,-481.469,22113.1,Agnainks TY-A e4340,
planetaryNebula,CGN II-46,Dark Wolf,-1589.41,-173.594,22268.7,Agnainks WO-Z e425,
planetaryNebula,CGN II-47,Agnainks XJ-R e4-4478,-1732.78,-1106.84,22780.4,Agnainks XJ-R e4-4478,
planetaryNebula,CGN II-48,Agnainks ZZ-Y e634,-2015.31,-538.094,22247.2,Agnainks ZZ-Y e634,
planetaryNebula,CGN II-49,Agnairt BB-O e6-2561,-9725.78,-830.125,23122.2,Agnairt BB-O e6-2561,
planetaryNebula,CGN II-50,Agnairt KW-W e1-5033,-9299.94,-939.844,22374.2,Agnairt KW-W e1-5033,
planetaryNebula,CGN II-51,Agnairt KX-T e3-7476,-9550.53,-435.688,22686.4,Agnairt KX-T e3-7476,
planetaryNebula,CGN II-52,New Society Nebula,-10057.4,-670.375,22670.5,Agnairt LN-T e3-3751,
planetaryNebula,CGN II-53,Amano Nebula,-10038.9,-751.469,22657.2,Agnairt LN-T e3-550,
planetaryNebula,CGN II-54,Agnairt OT-R e4-1169,-10212.2,-775.75,22779.8,Agnairt OT-R e4-1169,
planetaryNebula,CGN II-55,Agnairt TP-O e6-5885,-10127.3,-438.156,23151.8,Agnairt TP-O e6-5885,
planetaryNebula,CGN II-56,Agnairt UT-R e4-6827,-9330.06,-727.094,22842,Agnairt UT-R e4-6827,
planetaryNebula,CGN II-57,Agnairt UT-R e4-7266,-9227.81,-737.469,22801,Agnairt UT-R e4-7266,
planetaryNebula,CGN II-58,Agnairt VJ-Z e2827,-9740.66,-266.406,22201.3,Agnairt VJ-Z e2827,
planetaryNebula,CGN II-59,Manley Nebula,-9716.16,-685.312,23043.5,Agnairt VZ-P e5-4366,
planetaryNebula,CGN II-60,Agnairt WO-R e4-3534,-9306.06,-858.625,22791.5,Agnairt WO-R e4-3534,
